"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Библиотека auth0/java-jwt позволяет декодировать claims без верификации подписи","23","3. Парсинг subject (sub) из JWT","","Tue May 05 17:33:11 UTC 2026","passed","Tue May 05 17:33:11 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testParseJwtSubject"
"Оба способа (header и query) доставляют ключ — демонстрация эквивалентности","478","10. Сравнение способов передачи API Key","","Tue May 05 17:33:02 UTC 2026","passed","Tue May 05 17:33:02 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testHeaderVsQueryParamEquivalence"
"Валидный токен должен содержать claim 'exp'","13","6. Токен имеет поле exp (время истечения)","","Tue May 05 17:33:11 UTC 2026","passed","Tue May 05 17:33:11 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtHasExpirationClaim"
"","11","18. Параметризованная проверка timestamp-claims Timestamp claim 'exp' not null","","Tue May 05 17:33:12 UTC 2026","passed","Tue May 05 17:33:12 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtTimestampClaimsParameterized"
"Демонстрация PATCH запроса с авторизацией","169","5. PATCH с Basic Auth","","Tue May 05 17:33:09 UTC 2026","passed","Tue May 05 17:33:09 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPatchWithBasicAuth"
"Проверяем, что X-API-Key передаётся в заголовке и виден в ответе","272","1. GET с API Key в заголовке X-API-Key","","Tue May 05 17:32:59 UTC 2026","passed","Tue May 05 17:33:00 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyHeader"
"","206","6. PUT с form params и session cookie","","Tue May 05 17:33:04 UTC 2026","passed","Tue May 05 17:33:05 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPutFormParamsWithSession"
"Все детали запроса и ответа автоматически попадают в Allure отчет","2412","1. GET запрос с автоматическим Allure логированием","","Tue May 05 17:32:53 UTC 2026","passed","Tue May 05 17:32:55 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testGetWithAllureLogging"
"","16","10. Запрос к защищённому ресурсу без токена → 401","","Tue May 05 17:33:06 UTC 2026","passed","Tue May 05 17:33:06 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testGetProtectedResourceWithoutToken"
"Демонстрация DELETE запроса с авторизацией","149","6. DELETE с Basic Auth","","Tue May 05 17:33:09 UTC 2026","passed","Tue May 05 17:33:10 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testDeleteWithBasicAuth"
"","217","3. SOAP — конвертация нуля","","Tue May 05 17:32:57 UTC 2026","passed","Tue May 05 17:32:58 UTC 2026","","Тесты SoapApiClient","ru.learning.java.clients.api.SoapApiClientTest","testSoapZeroToWords"
"","44","9. Автоматический OAuth flow в одном методе sendGetWithOAuth","","Tue May 05 17:33:06 UTC 2026","passed","Tue May 05 17:33:06 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testSendGetWithOAuth"
"Демонстрация GET запроса с корректными credentials","236","1. GET с Basic Auth - успешная авторизация","","Tue May 05 17:33:08 UTC 2026","passed","Tue May 05 17:33:08 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testGetWithBasicAuthSuccess"
"exp должен быть в будущем относительно текущего времени","10","7. Валидный токен ещё не истёк","","Tue May 05 17:33:11 UTC 2026","passed","Tue May 05 17:33:11 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtNotExpired"
"POST /auth/login возвращает JWT токен","20","1. Получение JWT токена через логин/пароль","","Tue May 05 17:33:11 UTC 2026","passed","Tue May 05 17:33:11 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testFetchJwtToken"
"","10","18. Параметризованная проверка timestamp-claims Timestamp claim 'iat' not null","","Tue May 05 17:33:12 UTC 2026","passed","Tue May 05 17:33:12 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtTimestampClaimsParameterized"
"","216","5. SOAP — параметризованная конвертация чисел в слова 42 → должно содержать 'forty'","","Tue May 05 17:32:58 UTC 2026","passed","Tue May 05 17:32:58 UTC 2026","","Тесты SoapApiClient","ru.learning.java.clients.api.SoapApiClientTest","testNumberToWordsParameterized"
"JWT состоит из header.payload.signature в Base64","13","2. Структура JWT: три части разделённые точкой","","Tue May 05 17:33:11 UTC 2026","passed","Tue May 05 17:33:11 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtStructure"
"Проверка десериализации одного комментария","65","19. GET запрос - получение конкретного комментария","","Tue May 05 17:33:08 UTC 2026","passed","Tue May 05 17:33:08 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testGetSingleComment"
"","12","11. Получение токена с неверным client_secret → 401","","Tue May 05 17:33:06 UTC 2026","passed","Tue May 05 17:33:06 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testFetchTokenWithWrongSecret"
"","8","13. POST с истёкшим JWT → 401","","Tue May 05 17:33:11 UTC 2026","passed","Tue May 05 17:33:11 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testPostWithExpiredJwtRejected"
"Частичное обновление с Bearer токеном","166","11. PATCH с Bearer Token","","Tue May 05 17:33:10 UTC 2026","passed","Tue May 05 17:33:10 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPatchWithBearerToken"
"Проверка обработки невалидного токена","257","14. Негативный тест - невалидный Bearer токен","","Tue May 05 17:33:11 UTC 2026","passed","Tue May 05 17:33:11 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testInvalidBearerToken"
