"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Фильтрация постов по userId","84","3. GET запрос с query параметрами","","Sat May 09 14:43:00 UTC 2026","passed","Sat May 09 14:43:00 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testGetWithQueryParameters"
"Обновление только заголовка поста","86","9. PATCH запрос - частичное обновление","","Sat May 09 14:43:01 UTC 2026","passed","Sat May 09 14:43:01 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPatchRequest"
"Альтернативный способ создания объекта CreateUserRequest","101","21. POST запрос - создание пользователя через конструктор","","Sat May 09 14:43:02 UTC 2026","passed","Sat May 09 14:43:02 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testCreateUserWithConstructor"
"Частичное обновление с Bearer токеном","191","11. PATCH с Bearer Token","","Sat May 09 14:43:05 UTC 2026","passed","Sat May 09 14:43:05 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPatchWithBearerToken"
"Преобразование ответа в типизированный объект","62","5. Десериализация JSON в Java объект","","Sat May 09 14:43:00 UTC 2026","passed","Sat May 09 14:43:00 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testJsonToObjectDeserialization"
"Использование FormApiClient с базовыми методами","169","17. Комбинированный тест - FormApiClient с базовыми методами","","Sat May 09 14:43:02 UTC 2026","passed","Sat May 09 14:43:02 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testFormClientWithBasicMethods"
"","37","12. POST защищённого ресурса с валидным JWT → 201","","Sat May 09 14:43:07 UTC 2026","passed","Sat May 09 14:43:07 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testPostProtectedResourceWithValidJwt"
"","227","11. PATCH — частичное обновление через Map и ObjectMapper","","Sat May 09 14:43:01 UTC 2026","passed","Sat May 09 14:43:01 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPatchOnHttpbinWithMap"
"","13","11. Неверные credentials → 401 при получении токена","","Sat May 09 14:43:07 UTC 2026","passed","Sat May 09 14:43:07 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testInvalidCredentials"
"Проверяем все поля OAuthTokenResponse","23","2. Десериализация полного ответа токена в модель","","Sat May 09 14:43:00 UTC 2026","passed","Sat May 09 14:43:00 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testTokenResponseDeserialization"
