"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","3. Токен ещё не истёк сразу после получения","","Tue May 05 17:26:34 UTC 2026","passed","Tue May 05 17:26:34 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testTokenNotExpiredRightAfterIssue"
"","8","13. POST с истёкшим JWT → 401","","Tue May 05 17:26:40 UTC 2026","passed","Tue May 05 17:26:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testPostWithExpiredJwtRejected"
"","1075","10. PATCH — частичное обновление через httpbin","","Tue May 05 17:26:35 UTC 2026","passed","Tue May 05 17:26:36 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPatchOnHttpbin"
"Фильтрация постов по userId","57","3. GET запрос с query параметрами","","Tue May 05 17:26:35 UTC 2026","passed","Tue May 05 17:26:35 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testGetWithQueryParameters"
"Проверка обработки 404 ошибки","33","13. Негативный тест - несуществующий ресурс","","Tue May 05 17:26:36 UTC 2026","passed","Tue May 05 17:26:36 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testNotFoundError"
"","196","1. Получение XML и извлечение значения тега","","Tue May 05 17:26:32 UTC 2026","passed","Tue May 05 17:26:32 UTC 2026","","Тесты работы с XML","ru.learning.java.clients.api.XmlApiTest","testParseXmlResponse"
"Полный цикл: получение токена и использование его для запросов","242","13. Комплексный сценарий - получение и использование токена","","Tue May 05 17:26:39 UTC 2026","passed","Tue May 05 17:26:39 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testCompleteTokenFlow"
"Сервер отклоняет запрос с истёкшим JWT","9","10. Истёкший токен → 401 от сервера","","Tue May 05 17:26:40 UTC 2026","passed","Tue May 05 17:26:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testExpiredJwtRejectedByServer"
"Удаление ресурса с Bearer токеном","114","12. DELETE с Bearer Token","","Tue May 05 17:26:39 UTC 2026","passed","Tue May 05 17:26:39 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testDeleteWithBearerToken"
"Демонстрация работы с моделью Comment","38","18. GET запрос - получение комментариев к посту","","Tue May 05 17:26:37 UTC 2026","passed","Tue May 05 17:26:37 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testGetCommentsForPost"
"","35","9. GET защищённого ресурса с валидным JWT","","Tue May 05 17:26:40 UTC 2026","passed","Tue May 05 17:26:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testGetProtectedResourceWithValidJwt"
"Обновление только заголовка поста","118","9. PATCH запрос - частичное обновление","","Tue May 05 17:26:35 UTC 2026","passed","Tue May 05 17:26:35 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPatchRequest"
"Проверка полей пользователя различными способами","79","4. Валидация JSON структуры с Hamcrest матчерами","","Tue May 05 17:26:35 UTC 2026","passed","Tue May 05 17:26:35 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testJsonValidationWithHamcrest"
"Полное обновление поста","141","8. PUT запрос - обновление ресурса","","Tue May 05 17:26:35 UTC 2026","passed","Tue May 05 17:26:35 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPutRequest"
"Все детали запроса и ответа автоматически попадают в Allure отчет","2276","1. GET запрос с автоматическим Allure логированием","","Tue May 05 17:26:24 UTC 2026","passed","Tue May 05 17:26:26 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testGetWithAllureLogging"
"","188","1. Загрузка текстового файла","","Tue May 05 17:26:40 UTC 2026","passed","Tue May 05 17:26:40 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testUploadTextFile"
"Создание нового поста","75","6. POST запрос с JSON телом","","Tue May 05 17:26:35 UTC 2026","passed","Tue May 05 17:26:35 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPostRequestWithJsonBody"
"","171","4. SOAP — конвертация 1000","","Tue May 05 17:26:29 UTC 2026","passed","Tue May 05 17:26:29 UTC 2026","","Тесты SoapApiClient","ru.learning.java.clients.api.SoapApiClientTest","testSoapThousandToWords"
"Валидный токен должен содержать claim 'exp'","17","6. Токен имеет поле exp (время истечения)","","Tue May 05 17:26:40 UTC 2026","passed","Tue May 05 17:26:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtHasExpirationClaim"
"Проверяем, что Base64-encoded значение в заголовке соответствует паттерну Stripe","118","9. Stripe-style: заголовок Authorization содержит Base64(apiKey:)","","Tue May 05 17:26:31 UTC 2026","passed","Tue May 05 17:26:31 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testApiKeyAsBasicAuthFullCycle"
"POST /auth/login возвращает JWT токен","19","1. Получение JWT токена через логин/пароль","","Tue May 05 17:26:39 UTC 2026","passed","Tue May 05 17:26:39 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testFetchJwtToken"
"Демонстрация GET запроса с корректными credentials","149","1. GET с Basic Auth - успешная авторизация","","Tue May 05 17:26:37 UTC 2026","passed","Tue May 05 17:26:37 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testGetWithBasicAuthSuccess"
"Пошаговое создание и валидация поста","167","4. Создание поста с подробными шагами","","Tue May 05 17:26:27 UTC 2026","passed","Tue May 05 17:26:27 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testCreatePostWithSteps"
"","34","9. Автоматический OAuth flow в одном методе sendGetWithOAuth","","Tue May 05 17:26:34 UTC 2026","passed","Tue May 05 17:26:34 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testSendGetWithOAuth"
"Проверяем все поля OAuthTokenResponse","24","2. Десериализация полного ответа токена в модель","","Tue May 05 17:26:34 UTC 2026","passed","Tue May 05 17:26:34 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testTokenResponseDeserialization"
"Преобразование ответа в типизированный объект","37","5. Десериализация JSON в Java объект","","Tue May 05 17:26:35 UTC 2026","passed","Tue May 05 17:26:35 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testJsonToObjectDeserialization"
"","174","5. SOAP — параметризованная конвертация чисел в слова 999 → должно содержать 'nine hundred'","","Tue May 05 17:26:30 UTC 2026","passed","Tue May 05 17:26:30 UTC 2026","","Тесты SoapApiClient","ru.learning.java.clients.api.SoapApiClientTest","testNumberToWordsParameterized"
"Разные API используют разные имена параметра: apikey, api_key, key, token","487","7. GET с API Key в query-параметре 'apikey' (альтернативное имя)","","Tue May 05 17:26:31 UTC 2026","passed","Tue May 05 17:26:31 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyDifferentParamNames"
"Оба способа (header и query) доставляют ключ — демонстрация эквивалентности","245","10. Сравнение способов передачи API Key","","Tue May 05 17:26:31 UTC 2026","passed","Tue May 05 17:26:32 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testHeaderVsQueryParamEquivalence"
"Демонстрация асинхронного выполнения GET запроса","95","1. Выполнение GET запроса через актор","","Tue May 05 17:26:41 UTC 2026","passed","Tue May 05 17:26:41 UTC 2026","","Примеры использования акторной модели","ru.learning.java.actors.HttpRequestActorTest","testGetRequestWithActor"
"","13","10. Запрос к защищённому ресурсу без токена → 401","","Tue May 05 17:26:34 UTC 2026","passed","Tue May 05 17:26:34 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testGetProtectedResourceWithoutToken"
"Отправка данных с Bearer токеном","353","9. POST с Bearer Token","","Tue May 05 17:26:38 UTC 2026","passed","Tue May 05 17:26:39 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPostWithBearerToken"
"Проверка обработки невалидного токена","123","14. Негативный тест - невалидный Bearer токен","","Tue May 05 17:26:39 UTC 2026","passed","Tue May 05 17:26:39 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testInvalidBearerToken"
"Использование AuthApiClient с базовыми методами","37","16. Комбинированный тест - AuthApiClient с базовыми методами","","Tue May 05 17:26:36 UTC 2026","passed","Tue May 05 17:26:37 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testAuthClientWithBasicMethods"
"","13","18. Параметризованная проверка timestamp-claims Timestamp claim 'iat' not null","","Tue May 05 17:26:40 UTC 2026","passed","Tue May 05 17:26:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtTimestampClaimsParameterized"
"","22","19. Обновление токена через refresh_token","","Tue May 05 17:26:40 UTC 2026","passed","Tue May 05 17:26:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testRefreshJwtToken"
"","12","17. Параметризованная проверка string-claims Claim 'sub' = 'user1'","","Tue May 05 17:26:40 UTC 2026","passed","Tue May 05 17:26:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtClaimsParameterized"
"","11","11. Получение токена с неверным client_secret → 401","","Tue May 05 17:26:34 UTC 2026","passed","Tue May 05 17:26:34 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testFetchTokenWithWrongSecret"
"","12","14. Токен имеет поле iat (время выдачи)","","Tue May 05 17:26:40 UTC 2026","passed","Tue May 05 17:26:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtHasIssuedAtClaim"
"Отправка формы с cookies","144","2. POST с form parameters и cookies","","Tue May 05 17:26:33 UTC 2026","passed","Tue May 05 17:26:33 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPostWithFormParamsAndCookies"
"Демонстрация использования CreateUserRequest с Lombok Builder","81","20. POST запрос - создание пользователя с Builder","","Tue May 05 17:26:37 UTC 2026","passed","Tue May 05 17:26:37 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testCreateUserWithBuilder"
"","110","4. Inline multipart без клиента","","Tue May 05 17:26:40 UTC 2026","passed","Tue May 05 17:26:40 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testMultipartInline"
"Некоторые API принимают ключ как 'ApiKey <token>' в Authorization","154","2. GET с API Key в заголовке Authorization (кастомный формат)","","Tue May 05 17:26:30 UTC 2026","passed","Tue May 05 17:26:30 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyInAuthorizationHeader"
"","113","2. Загрузка файла из classpath","","Tue May 05 17:26:40 UTC 2026","passed","Tue May 05 17:26:40 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testUploadFileFromClasspath"
"","14","18. Параметризованная проверка timestamp-claims Timestamp claim 'exp' not null","","Tue May 05 17:26:40 UTC 2026","passed","Tue May 05 17:26:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtTimestampClaimsParameterized"
