"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Демонстрация добавления вложений в отчет","113","6. Тест с attachment в Allure","","Tue Apr 21 17:56:39 UTC 2026","passed","Tue Apr 21 17:56:39 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testWithAttachments"
"","45","9. GET защищённого ресурса с валидным JWT","","Tue Apr 21 17:56:40 UTC 2026","passed","Tue Apr 21 17:56:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testGetProtectedResourceWithValidJwt"
"Библиотека auth0/java-jwt позволяет декодировать claims без верификации подписи","72","3. Парсинг subject (sub) из JWT","","Tue Apr 21 17:56:40 UTC 2026","passed","Tue Apr 21 17:56:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testParseJwtSubject"
"","138","1. Загрузка текстового файла","","Tue Apr 21 17:56:46 UTC 2026","passed","Tue Apr 21 17:56:46 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testUploadTextFile"
"Фильтрация постов по userId","84","3. GET запрос с query параметрами","","Tue Apr 21 17:56:43 UTC 2026","passed","Tue Apr 21 17:56:43 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testGetWithQueryParameters"
"","18","16. iat в прошлом — токен уже был выдан","","Tue Apr 21 17:56:40 UTC 2026","passed","Tue Apr 21 17:56:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtIssuedInThePast"
"","14","6. Обновление токена через Refresh Token grant","","Tue Apr 21 17:56:46 UTC 2026","passed","Tue Apr 21 17:56:46 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testRefreshToken"
"","375","2. SOAP — валидация ответа через XPath","","Tue Apr 21 17:56:47 UTC 2026","passed","Tue Apr 21 17:56:47 UTC 2026","","Тесты SoapApiClient","ru.learning.java.clients.api.SoapApiClientTest","testSoapResponseWithXPath"
"Использование FormApiClient с базовыми методами","93","17. Комбинированный тест - FormApiClient с базовыми методами","","Tue Apr 21 17:56:44 UTC 2026","passed","Tue Apr 21 17:56:44 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testFormClientWithBasicMethods"
"","12","10. Запрос к защищённому ресурсу без токена → 401","","Tue Apr 21 17:56:46 UTC 2026","passed","Tue Apr 21 17:56:46 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testGetProtectedResourceWithoutToken"
"Удаление поста","82","12. DELETE запрос","","Tue Apr 21 17:56:44 UTC 2026","passed","Tue Apr 21 17:56:44 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testDeleteRequest"
"Все детали запроса и ответа автоматически попадают в Allure отчет","3474","1. GET запрос с автоматическим Allure логированием","","Tue Apr 21 17:56:35 UTC 2026","passed","Tue Apr 21 17:56:38 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testGetWithAllureLogging"
"","15","18. Параметризованная проверка timestamp-claims Timestamp claim 'exp' not null","","Tue Apr 21 17:56:40 UTC 2026","passed","Tue Apr 21 17:56:41 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtTimestampClaimsParameterized"
"Проверка обработки ошибок с логированием в Allure","87","7. Негативный тест с Allure отчетом","","Tue Apr 21 17:56:39 UTC 2026","passed","Tue Apr 21 17:56:39 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testNegativeScenarioWithAllure"
"","18","15. iat меньше exp — токен выдан до истечения","","Tue Apr 21 17:56:40 UTC 2026","passed","Tue Apr 21 17:56:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtIssuedBeforeExpiration"
"Проверяем, что X-API-Key передаётся в заголовке и виден в ответе","69","1. GET с API Key в заголовке X-API-Key","","Tue Apr 21 17:56:48 UTC 2026","passed","Tue Apr 21 17:56:48 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyHeader"
"Проверяем все поля OAuthTokenResponse","15","2. Десериализация полного ответа токена в модель","","Tue Apr 21 17:56:46 UTC 2026","passed","Tue Apr 21 17:56:46 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testTokenResponseDeserialization"
"Удаление ресурса с Bearer токеном","66","12. DELETE с Bearer Token","","Tue Apr 21 17:56:43 UTC 2026","passed","Tue Apr 21 17:56:43 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testDeleteWithBearerToken"
"Демонстрация PATCH запроса с авторизацией","175","5. PATCH с Basic Auth","","Tue Apr 21 17:56:41 UTC 2026","passed","Tue Apr 21 17:56:41 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPatchWithBasicAuth"
"","21","5. Парсинг алгоритма подписи из заголовка JWT","","Tue Apr 21 17:56:40 UTC 2026","passed","Tue Apr 21 17:56:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testParseJwtAlgorithm"
"Проверка что API отвечает быстро","103","14. Валидация времени ответа","","Tue Apr 21 17:56:44 UTC 2026","passed","Tue Apr 21 17:56:44 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testResponseTime"
"Оба способа (header и query) доставляют ключ — демонстрация эквивалентности","894","10. Сравнение способов передачи API Key","","Tue Apr 21 17:56:49 UTC 2026","passed","Tue Apr 21 17:56:50 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testHeaderVsQueryParamEquivalence"
"","18","17. Параметризованная проверка string-claims Claim 'name' = 'Test User'","","Tue Apr 21 17:56:40 UTC 2026","passed","Tue Apr 21 17:56:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtClaimsParameterized"
"","173","11. PATCH — частичное обновление через Map и ObjectMapper","","Tue Apr 21 17:56:44 UTC 2026","passed","Tue Apr 21 17:56:44 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPatchOnHttpbinWithMap"
"","80","1. Получение XML и извлечение значения тега","","Tue Apr 21 17:56:47 UTC 2026","passed","Tue Apr 21 17:56:47 UTC 2026","","Тесты работы с XML","ru.learning.java.clients.api.XmlApiTest","testParseXmlResponse"
"Работа с Comment моделью через TestSpecification","131","3. Получение комментариев с детальным логированием","","Tue Apr 21 17:56:38 UTC 2026","passed","Tue Apr 21 17:56:38 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testGetCommentsWithAllure"
"Получение конкретного пользователя по ID","96","2. GET запрос с path параметром","","Tue Apr 21 17:56:43 UTC 2026","passed","Tue Apr 21 17:56:43 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testGetWithPathParameter"
"Альтернативный способ создания объекта CreateUserRequest","93","21. POST запрос - создание пользователя через конструктор","","Tue Apr 21 17:56:45 UTC 2026","passed","Tue Apr 21 17:56:45 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testCreateUserWithConstructor"
"","10","3. Токен ещё не истёк сразу после получения","","Tue Apr 21 17:56:46 UTC 2026","passed","Tue Apr 21 17:56:46 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testTokenNotExpiredRightAfterIssue"
"Демонстрация POST запроса с авторизацией","70","3. POST с Basic Auth","","Tue Apr 21 17:56:41 UTC 2026","passed","Tue Apr 21 17:56:41 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPostWithBasicAuth"
"","14","4. Получение токена через Resource Owner Password grant","","Tue Apr 21 17:56:46 UTC 2026","passed","Tue Apr 21 17:56:46 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testFetchTokenPassword"
"Демонстрация асинхронного выполнения GET запроса","98","1. Выполнение GET запроса через актор","","Tue Apr 21 17:56:50 UTC 2026","passed","Tue Apr 21 17:56:50 UTC 2026","","Примеры использования акторной модели","ru.learning.java.actors.HttpRequestActorTest","testGetRequestWithActor"
"","29","9. Автоматический OAuth flow в одном методе sendGetWithOAuth","","Tue Apr 21 17:56:46 UTC 2026","passed","Tue Apr 21 17:56:46 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testSendGetWithOAuth"
"Проверка обработки 401 Unauthorized","58","2. GET с Basic Auth - неверные credentials","","Tue Apr 21 17:56:41 UTC 2026","passed","Tue Apr 21 17:56:41 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testGetWithBasicAuthFailure"
"","142","6. PUT с form params и session cookie","","Tue Apr 21 17:56:45 UTC 2026","passed","Tue Apr 21 17:56:46 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPutFormParamsWithSession"
"Создание пользователя, поста и получение комментариев","372","5. Комплексный сценарий с множественными шагами","","Tue Apr 21 17:56:39 UTC 2026","passed","Tue Apr 21 17:56:39 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testComplexScenarioWithAllure"
"","22","4. Парсинг кастомного claim 'name' из JWT","","Tue Apr 21 17:56:40 UTC 2026","passed","Tue Apr 21 17:56:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testParseJwtCustomClaim"
"Демонстрация асинхронного выполнения POST запроса","96","2. Выполнение POST запроса через актор","","Tue Apr 21 17:56:50 UTC 2026","passed","Tue Apr 21 17:56:51 UTC 2026","","Примеры использования акторной модели","ru.learning.java.actors.HttpRequestActorTest","testPostRequestWithActor"
"","21","17. Параметризованная проверка string-claims Claim 'sub' = 'user1'","","Tue Apr 21 17:56:40 UTC 2026","passed","Tue Apr 21 17:56:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtClaimsParameterized"
"Полное обновление поста","147","8. PUT запрос - обновление ресурса","","Tue Apr 21 17:56:43 UTC 2026","passed","Tue Apr 21 17:56:44 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPutRequest"
"Создание поста из Java объекта","101","7. POST запрос с объектом","","Tue Apr 21 17:56:43 UTC 2026","passed","Tue Apr 21 17:56:43 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPostRequestWithObject"
"PATCH запрос с form-encoded данными","55","7. PATCH с form parameters","","Tue Apr 21 17:56:46 UTC 2026","passed","Tue Apr 21 17:56:46 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPatchWithFormParams"
"","15","5. Ответ содержит refresh_token при Password grant","","Tue Apr 21 17:56:46 UTC 2026","passed","Tue Apr 21 17:56:46 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testPasswordGrantReturnsRefreshToken"
"","41","12. POST защищённого ресурса с валидным JWT → 201","","Tue Apr 21 17:56:40 UTC 2026","passed","Tue Apr 21 17:56:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testPostProtectedResourceWithValidJwt"
"Демонстрация работы с моделью Comment","77","18. GET запрос - получение комментариев к посту","","Tue Apr 21 17:56:44 UTC 2026","passed","Tue Apr 21 17:56:45 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testGetCommentsForPost"
"PUT запрос с form-encoded данными","56","4. PUT с form parameters","","Tue Apr 21 17:56:45 UTC 2026","passed","Tue Apr 21 17:56:45 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPutWithFormParams"
"","9","21. Невалидный refresh_token → 401","","Tue Apr 21 17:56:41 UTC 2026","passed","Tue Apr 21 17:56:41 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testInvalidRefreshTokenRejected"
"Некоторые API принимают ключ как 'ApiKey <token>' в Authorization","80","2. GET с API Key в заголовке Authorization (кастомный формат)","","Tue Apr 21 17:56:48 UTC 2026","passed","Tue Apr 21 17:56:48 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyInAuthorizationHeader"
"POST на /oauth/token с grant_type=client_credentials","19","1. Получение токена через Client Credentials grant","","Tue Apr 21 17:56:46 UTC 2026","passed","Tue Apr 21 17:56:46 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testFetchTokenClientCredentials"
"","84","3. Файл + поля формы","","Tue Apr 21 17:56:46 UTC 2026","passed","Tue Apr 21 17:56:46 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testUploadFileWithMetadata"
"exp должен быть в будущем относительно текущего времени","19","7. Валидный токен ещё не истёк","","Tue Apr 21 17:56:40 UTC 2026","passed","Tue Apr 21 17:56:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtNotExpired"
"Отправка формы в формате application/x-www-form-urlencoded","77","1. POST с form parameters (без cookies)","","Tue Apr 21 17:56:45 UTC 2026","passed","Tue Apr 21 17:56:45 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPostWithFormParams"
"Негативный тест: запрос без ключа к защищённому ресурсу","42","4. Проверка, что без API Key возвращается 401","","Tue Apr 21 17:56:48 UTC 2026","passed","Tue Apr 21 17:56:48 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithoutApiKeyReturns401"
"POST /auth/login возвращает JWT токен","152","1. Получение JWT токена через логин/пароль","","Tue Apr 21 17:56:40 UTC 2026","passed","Tue Apr 21 17:56:40 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testFetchJwtToken"
