"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","54","GET /users/1 — ответ соответствует Bean Validation модели User","","Mon May 11 09:01:22 UTC 2026","passed","Mon May 11 09:01:22 UTC 2026","","Контрактные тесты — валидация ответа API через JSR-380","ru.learning.java.clients.api.UserApiContractTest","testGetSingleUserMatchesContract"
"Работа с Comment моделью через TestSpecification","103","3. Получение комментариев с детальным логированием","","Mon May 11 09:00:56 UTC 2026","passed","Mon May 11 09:00:56 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testGetCommentsWithAllure"
"","41","8. POST с сериализацией Java-объекта через Jackson","","Mon May 11 09:01:23 UTC 2026","passed","Mon May 11 09:01:23 UTC 2026","","DigestApiClientTest — аутентификация через HTTP Digest","ru.learning.java.clients.api.DigestApiClientTest","testPostDigestWithJacksonObject"
"","263","2. Загрузка файла из classpath","","Mon May 11 09:01:23 UTC 2026","passed","Mon May 11 09:01:24 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testUploadFileFromClasspath"
"","345","5. SOAP — параметризованная конвертация чисел в слова 42 → должно содержать 'forty'","","Mon May 11 09:01:00 UTC 2026","passed","Mon May 11 09:01:00 UTC 2026","","Тесты SoapApiClient","ru.learning.java.clients.api.SoapApiClientTest","testNumberToWordsParameterized"
"","387","5. SOAP — параметризованная конвертация чисел в слова 1 → должно содержать 'one'","","Mon May 11 09:00:59 UTC 2026","passed","Mon May 11 09:01:00 UTC 2026","","Тесты SoapApiClient","ru.learning.java.clients.api.SoapApiClientTest","testNumberToWordsParameterized"
"Проверка десериализации одного комментария","59","19. GET запрос - получение конкретного комментария","","Mon May 11 09:01:14 UTC 2026","passed","Mon May 11 09:01:14 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testGetSingleComment"
"Создание поста и получение его комментариев","179","22. Комплексный сценарий - создание поста и комментариев","","Mon May 11 09:01:14 UTC 2026","passed","Mon May 11 09:01:15 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testComplexScenarioPostAndComments"
"Демонстрация PUT запроса с авторизацией","292","4. PUT с Basic Auth","","Mon May 11 09:01:15 UTC 2026","passed","Mon May 11 09:01:16 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPutWithBasicAuth"
"Удаление поста","116","12. DELETE запрос","","Mon May 11 09:01:13 UTC 2026","passed","Mon May 11 09:01:14 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testDeleteRequest"
"","1","Невалидный email отлавливается @Email","","Mon May 11 09:01:25 UTC 2026","passed","Mon May 11 09:01:25 UTC 2026","","ModelValidator — Jakarta Bean Validation","ru.learning.java.validation.ModelValidatorTest","testInvalidEmailDetected"
"","723","3. POST запрос с XML телом","","Mon May 11 09:01:08 UTC 2026","passed","Mon May 11 09:01:08 UTC 2026","","Тесты работы с XML","ru.learning.java.clients.api.XmlApiTest","testPostWithXmlBody"
"","5","21. Невалидный refresh_token → 401","","Mon May 11 09:01:21 UTC 2026","passed","Mon May 11 09:01:21 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testInvalidRefreshTokenRejected"
"POST запрос с телом и API Key в заголовке","405","3. POST с API Key в заголовке X-API-Key","","Mon May 11 09:01:02 UTC 2026","passed","Mon May 11 09:01:03 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testPostWithApiKeyHeader"
"Все детали запроса и ответа автоматически попадают в Allure отчет","2339","1. GET запрос с автоматическим Allure логированием","","Mon May 11 09:00:54 UTC 2026","passed","Mon May 11 09:00:56 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testGetWithAllureLogging"
"Оба способа (header и query) доставляют ключ — демонстрация эквивалентности","995","10. Сравнение способов передачи API Key","","Mon May 11 09:01:06 UTC 2026","passed","Mon May 11 09:01:07 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testHeaderVsQueryParamEquivalence"
"","27","7. GET защищённого ресурса с валидным токеном","","Mon May 11 09:01:12 UTC 2026","passed","Mon May 11 09:01:12 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testGetProtectedResourceWithToken"
