"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Демонстрация POST запроса с авторизацией","232","3. POST с Basic Auth","","Tue May 12 19:38:07 UTC 2026","passed","Tue May 12 19:38:07 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPostWithBasicAuth"
"","11","11. Получение токена с неверным client_secret → 401","","Tue May 12 19:38:05 UTC 2026","passed","Tue May 12 19:38:05 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testFetchTokenWithWrongSecret"
"","152","1. Загрузка текстового файла","","Tue May 12 19:38:11 UTC 2026","passed","Tue May 12 19:38:11 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testUploadTextFile"
"Отправка формы в формате application/x-www-form-urlencoded","125","1. POST с form parameters (без cookies)","","Tue May 12 19:38:03 UTC 2026","passed","Tue May 12 19:38:03 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPostWithFormParams"
"Использование FormApiClient с базовыми методами","60","17. Комбинированный тест - FormApiClient с базовыми методами","","Tue May 12 19:38:06 UTC 2026","passed","Tue May 12 19:38:06 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testFormClientWithBasicMethods"
"","1","Builder создаёт корректный объект и обеспечивает иммутабельность","","Tue May 12 19:38:12 UTC 2026","passed","Tue May 12 19:38:12 UTC 2026","","Immutables — демонстрация builder + проверки инвариантов","ru.learning.java.models.ImmutablesDemoTest","immutableBuilderWorks"
"","11","9. WireMock: PUT с Digest для разных id PUT /data/100 → 200","","Tue May 12 19:38:11 UTC 2026","passed","Tue May 12 19:38:11 UTC 2026","","DigestApiClientTest — аутентификация через HTTP Digest","ru.learning.java.clients.api.DigestApiClientTest","testPutWithDigestForVariousIds"
"Демонстрация DELETE запроса с авторизацией","101","6. DELETE с Basic Auth","","Tue May 12 19:38:07 UTC 2026","passed","Tue May 12 19:38:07 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testDeleteWithBasicAuth"
"Использование AuthApiClient с базовыми методами","34","16. Комбинированный тест - AuthApiClient с базовыми методами","","Tue May 12 19:38:06 UTC 2026","passed","Tue May 12 19:38:06 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testAuthClientWithBasicMethods"
"","16","5. Ответ содержит refresh_token при Password grant","","Tue May 12 19:38:05 UTC 2026","passed","Tue May 12 19:38:05 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testPasswordGrantReturnsRefreshToken"
