"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","252","5. PUT с form params — обновление данных сотрудника","","Tue May 19 17:41:21 UTC 2026","passed","Tue May 19 17:41:21 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPutFormParamsEmployee"
"Проверка что API отвечает быстро","93","14. Валидация времени ответа","","Tue May 19 17:41:33 UTC 2026","passed","Tue May 19 17:41:33 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testResponseTime"
"","10","13. POST с истёкшим JWT → 401","","Tue May 19 17:41:19 UTC 2026","passed","Tue May 19 17:41:19 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testPostWithExpiredJwtRejected"
"","299","6. SOAP — некорректный namespace возвращает Fault","","Tue May 19 17:41:11 UTC 2026","passed","Tue May 19 17:41:12 UTC 2026","","Тесты SoapApiClient","ru.learning.java.clients.api.SoapApiClientTest","testSoapFaultOnWrongNamespace"
"","283","2. Валидация XML через Hamcrest hasXPath","","Tue May 19 17:41:30 UTC 2026","passed","Tue May 19 17:41:30 UTC 2026","","Тесты работы с XML","ru.learning.java.clients.api.XmlApiTest","testXmlValidationWithHamcrest"
"Демонстрация POST запроса с авторизацией","237","3. POST с Basic Auth","","Tue May 19 17:41:22 UTC 2026","passed","Tue May 19 17:41:23 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPostWithBasicAuth"
"Отправка данных с Bearer токеном","560","9. POST с Bearer Token","","Tue May 19 17:41:24 UTC 2026","passed","Tue May 19 17:41:25 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPostWithBearerToken"
"","246","4. Inline multipart без клиента","","Tue May 19 17:41:29 UTC 2026","passed","Tue May 19 17:41:29 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testMultipartInline"
"Проверяем, что api_key передаётся как query-параметр","274","5. GET с API Key в query-параметре 'api_key'","","Tue May 19 17:41:14 UTC 2026","passed","Tue May 19 17:41:14 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyQueryParam"
"","16","9. WireMock: PUT с Digest для разных id PUT /data/1 → 200","","Tue May 19 17:41:28 UTC 2026","passed","Tue May 19 17:41:28 UTC 2026","","DigestApiClientTest — аутентификация через HTTP Digest","ru.learning.java.clients.api.DigestApiClientTest","testPutWithDigestForVariousIds"
"","8","@Positive отлавливает отрицательный id","","Tue May 19 17:41:36 UTC 2026","passed","Tue May 19 17:41:36 UTC 2026","","ModelValidator — Jakarta Bean Validation","ru.learning.java.validation.ModelValidatorTest","testNegativeIdDetected"
"Имитация сценария: исходный токен устарел, обновляем и используем новый","56","20. Полный flow: логин → рефреш → защищённый ресурс","","Tue May 19 17:41:19 UTC 2026","passed","Tue May 19 17:41:19 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testFullRefreshFlow"
"Сервер отклоняет запрос с истёкшим JWT","10","10. Истёкший токен → 401 от сервера","","Tue May 19 17:41:19 UTC 2026","passed","Tue May 19 17:41:19 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testExpiredJwtRejectedByServer"
"","14","10. Запрос к защищённому ресурсу без токена → 401","","Tue May 19 17:41:19 UTC 2026","passed","Tue May 19 17:41:19 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testGetProtectedResourceWithoutToken"
"POST запрос с телом и API Key в заголовке","438","3. POST с API Key в заголовке X-API-Key","","Tue May 19 17:41:13 UTC 2026","passed","Tue May 19 17:41:13 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testPostWithApiKeyHeader"
"Библиотека auth0/java-jwt позволяет декодировать claims без верификации подписи","30","3. Парсинг subject (sub) из JWT","","Tue May 19 17:41:19 UTC 2026","passed","Tue May 19 17:41:19 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testParseJwtSubject"
"","21","4. Получение токена через Resource Owner Password grant","","Tue May 19 17:41:19 UTC 2026","passed","Tue May 19 17:41:19 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testFetchTokenPassword"
"Client Credentials → access_token → защищённый GET","44","8. Полный OAuth flow: получить токен → использовать для запроса","","Tue May 19 17:41:19 UTC 2026","passed","Tue May 19 17:41:19 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testFullOAuthFlow"
"","18","15. iat меньше exp — токен выдан до истечения","","Tue May 19 17:41:19 UTC 2026","passed","Tue May 19 17:41:19 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtIssuedBeforeExpiration"
"Работа с Comment моделью через TestSpecification","98","3. Получение комментариев с детальным логированием","","Tue May 19 17:41:35 UTC 2026","passed","Tue May 19 17:41:36 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testGetCommentsWithAllure"
"","316","5. SOAP — параметризованная конвертация чисел в слова 1 → должно содержать 'one'","","Tue May 19 17:41:10 UTC 2026","passed","Tue May 19 17:41:10 UTC 2026","","Тесты SoapApiClient","ru.learning.java.clients.api.SoapApiClientTest","testNumberToWordsParameterized"
"","0","Username с пробелом не соответствует @Pattern","","Tue May 19 17:41:36 UTC 2026","passed","Tue May 19 17:41:36 UTC 2026","","ModelValidator — Jakarta Bean Validation","ru.learning.java.validation.ModelValidatorTest","testUsernamePatternViolation"
"Демонстрация получения токена через POST запрос","239","7. Получение Bearer токена","","Tue May 19 17:41:24 UTC 2026","passed","Tue May 19 17:41:24 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testGetBearerToken"
"Создание поста из Java объекта","114","7. POST запрос с объектом","","Tue May 19 17:41:32 UTC 2026","passed","Tue May 19 17:41:32 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPostRequestWithObject"
"","52","8. POST с сериализацией Java-объекта через Jackson","","Tue May 19 17:41:28 UTC 2026","passed","Tue May 19 17:41:28 UTC 2026","","DigestApiClientTest — аутентификация через HTTP Digest","ru.learning.java.clients.api.DigestApiClientTest","testPostDigestWithJacksonObject"
