"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","84","10. PATCH — частичное обновление через httpbin","","Tue Apr 21 19:00:35 UTC 2026","passed","Tue Apr 21 19:00:35 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPatchOnHttpbin"
"Создание нового поста","113","6. POST запрос с JSON телом","","Tue Apr 21 19:00:34 UTC 2026","passed","Tue Apr 21 19:00:34 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPostRequestWithJsonBody"
"PUT запрос с form-encoded данными","40","4. PUT с form parameters","","Tue Apr 21 19:00:33 UTC 2026","passed","Tue Apr 21 19:00:33 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPutWithFormParams"
"Демонстрация работы с моделью Comment","82","18. GET запрос - получение комментариев к посту","","Tue Apr 21 19:00:35 UTC 2026","passed","Tue Apr 21 19:00:35 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testGetCommentsForPost"
"","103","5. PUT с form params — обновление данных сотрудника","","Tue Apr 21 19:00:33 UTC 2026","passed","Tue Apr 21 19:00:33 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPutFormParamsEmployee"
"","15","18. Параметризованная проверка timestamp-claims Timestamp claim 'iat' not null","","Tue Apr 21 19:00:37 UTC 2026","passed","Tue Apr 21 19:00:37 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtTimestampClaimsParameterized"
"","225","4. Inline multipart без клиента","","Tue Apr 21 19:00:37 UTC 2026","passed","Tue Apr 21 19:00:38 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testMultipartInline"
"","8","21. Невалидный refresh_token → 401","","Tue Apr 21 19:00:37 UTC 2026","passed","Tue Apr 21 19:00:37 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testInvalidRefreshTokenRejected"
"Преобразование ответа в типизированный объект","85","5. Десериализация JSON в Java объект","","Tue Apr 21 19:00:34 UTC 2026","passed","Tue Apr 21 19:00:34 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testJsonToObjectDeserialization"
"Проверяем, что X-API-Key передаётся в заголовке и виден в ответе","108","1. GET с API Key в заголовке X-API-Key","","Tue Apr 21 19:00:30 UTC 2026","passed","Tue Apr 21 19:00:31 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyHeader"
"","30","7. GET защищённого ресурса с валидным токеном","","Tue Apr 21 19:00:34 UTC 2026","passed","Tue Apr 21 19:00:34 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testGetProtectedResourceWithToken"
"Проверка обработки 401 Unauthorized","29","2. GET с Basic Auth - неверные credentials","","Tue Apr 21 19:00:36 UTC 2026","passed","Tue Apr 21 19:00:36 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testGetWithBasicAuthFailure"
"Полный цикл: получение токена и использование его для запросов","58","13. Комплексный сценарий - получение и использование токена","","Tue Apr 21 19:00:37 UTC 2026","passed","Tue Apr 21 19:00:37 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testCompleteTokenFlow"
"Использование AuthApiClient с базовыми методами","58","16. Комбинированный тест - AuthApiClient с базовыми методами","","Tue Apr 21 19:00:35 UTC 2026","passed","Tue Apr 21 19:00:35 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testAuthClientWithBasicMethods"
"Демонстрация параллельной работы нескольких акторов","85","3. Параллельное выполнение нескольких запросов","","Tue Apr 21 19:00:38 UTC 2026","passed","Tue Apr 21 19:00:38 UTC 2026","","Примеры использования акторной модели","ru.learning.java.actors.HttpRequestActorTest","testMultipleParallelRequests"
"","27","17. Параметризованная проверка string-claims Claim 'sub' = 'user1'","","Tue Apr 21 19:00:37 UTC 2026","passed","Tue Apr 21 19:00:37 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtClaimsParameterized"
"Демонстрация POST запроса с авторизацией","33","3. POST с Basic Auth","","Tue Apr 21 19:00:36 UTC 2026","passed","Tue Apr 21 19:00:36 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPostWithBasicAuth"
"","16","14. Токен имеет поле iat (время выдачи)","","Tue Apr 21 19:00:37 UTC 2026","passed","Tue Apr 21 19:00:37 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtHasIssuedAtClaim"
"","34","2. Загрузка файла из classpath","","Tue Apr 21 19:00:37 UTC 2026","passed","Tue Apr 21 19:00:37 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testUploadFileFromClasspath"
"POST на /oauth/token с grant_type=client_credentials","155","1. Получение токена через Client Credentials grant","","Tue Apr 21 19:00:33 UTC 2026","passed","Tue Apr 21 19:00:34 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testFetchTokenClientCredentials"
"","32","9. GET защищённого ресурса с валидным JWT","","Tue Apr 21 19:00:37 UTC 2026","passed","Tue Apr 21 19:00:37 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testGetProtectedResourceWithValidJwt"
"Демонстрация добавления вложений в отчет","99","6. Тест с attachment в Allure","","Tue Apr 21 19:00:29 UTC 2026","passed","Tue Apr 21 19:00:29 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testWithAttachments"
"Создание пользователя, поста и получение комментариев","239","5. Комплексный сценарий с множественными шагами","","Tue Apr 21 19:00:29 UTC 2026","passed","Tue Apr 21 19:00:29 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testComplexScenarioWithAllure"
