"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","237","2. Валидация XML через Hamcrest hasXPath","","Sat May 09 14:27:16 UTC 2026","passed","Sat May 09 14:27:16 UTC 2026","","Тесты работы с XML","ru.learning.java.clients.api.XmlApiTest","testXmlValidationWithHamcrest"
"Создание нового поста","101","6. POST запрос с JSON телом","","Sat May 09 14:27:19 UTC 2026","passed","Sat May 09 14:27:20 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPostRequestWithJsonBody"
"Демонстрация асинхронного выполнения POST запроса","67","2. Выполнение POST запроса через актор","","Sat May 09 14:27:28 UTC 2026","passed","Sat May 09 14:27:28 UTC 2026","","Примеры использования акторной модели","ru.learning.java.actors.HttpRequestActorTest","testPostRequestWithActor"
"","11","9. WireMock: PUT с Digest для разных id PUT /data/100 → 200","","Sat May 09 14:27:26 UTC 2026","passed","Sat May 09 14:27:26 UTC 2026","","DigestApiClientTest — аутентификация через HTTP Digest","ru.learning.java.clients.api.DigestApiClientTest","testPutWithDigestForVariousIds"
"Обновление данных с Bearer токеном","192","10. PUT с Bearer Token","","Sat May 09 14:27:23 UTC 2026","passed","Sat May 09 14:27:24 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPutWithBearerToken"
"","191","11. PATCH — частичное обновление через Map и ObjectMapper","","Sat May 09 14:27:20 UTC 2026","passed","Sat May 09 14:27:20 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPatchOnHttpbinWithMap"
"","38","12. POST защищённого ресурса с валидным JWT → 201","","Sat May 09 14:27:25 UTC 2026","passed","Sat May 09 14:27:25 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testPostProtectedResourceWithValidJwt"
"Демонстрация добавления вложений в отчет","96","6. Тест с attachment в Allure","","Sat May 09 14:27:09 UTC 2026","passed","Sat May 09 14:27:09 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testWithAttachments"
"","27","9. GET защищённого ресурса с валидным JWT","","Sat May 09 14:27:25 UTC 2026","passed","Sat May 09 14:27:25 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testGetProtectedResourceWithValidJwt"
"","14","5. WireMock: POST с Digest-заголовком возвращает 201","","Sat May 09 14:27:26 UTC 2026","passed","Sat May 09 14:27:26 UTC 2026","","DigestApiClientTest — аутентификация через HTTP Digest","ru.learning.java.clients.api.DigestApiClientTest","testPostWithDigestOnWireMock"
"Демонстрирует двухшаговый flow: первый 401, второй 200","21","3. WireMock: повторный запрос с Digest-заголовком возвращает 200","","Sat May 09 14:27:26 UTC 2026","passed","Sat May 09 14:27:26 UTC 2026","","DigestApiClientTest — аутентификация через HTTP Digest","ru.learning.java.clients.api.DigestApiClientTest","testDigestFlowOnWireMock"
"Создание поста из Java объекта","142","7. POST запрос с объектом","","Sat May 09 14:27:20 UTC 2026","passed","Sat May 09 14:27:20 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPostRequestWithObject"
"","19","19. Обновление токена через refresh_token","","Sat May 09 14:27:25 UTC 2026","passed","Sat May 09 14:27:25 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testRefreshJwtToken"
"Демонстрация получения токена через POST запрос","172","7. Получение Bearer токена","","Sat May 09 14:27:23 UTC 2026","passed","Sat May 09 14:27:23 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testGetBearerToken"
