"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","9. WireMock: PUT с Digest для разных id PUT /data/100 → 200","","Tue May 19 18:09:05 UTC 2026","passed","Tue May 19 18:09:05 UTC 2026","","DigestApiClientTest — аутентификация через HTTP Digest","ru.learning.java.clients.api.DigestApiClientTest","testPutWithDigestForVariousIds"
"","194","1. Загрузка текстового файла","","Tue May 19 18:09:05 UTC 2026","passed","Tue May 19 18:09:05 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testUploadTextFile"
"","11","11. Неверные credentials → 401 при получении токена","","Tue May 19 18:09:03 UTC 2026","passed","Tue May 19 18:09:03 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testInvalidCredentials"
"","57","Создание постов по данным из CSV [4] POST /posts userId=1, title=Long body","","Tue May 19 18:09:01 UTC 2026","passed","Tue May 19 18:09:01 UTC 2026","","Data-Driven — CSV источник для posts","ru.learning.java.clients.api.data_driven.PostCsvDataDrivenTest","createPostFromCsv"
"","15","9. WireMock: PUT с Digest для разных id PUT /data/1 → 200","","Tue May 19 18:09:05 UTC 2026","passed","Tue May 19 18:09:05 UTC 2026","","DigestApiClientTest — аутентификация через HTTP Digest","ru.learning.java.clients.api.DigestApiClientTest","testPutWithDigestForVariousIds"
"POST запрос с телом и API Key в заголовке","76","3. POST с API Key в заголовке X-API-Key","","Tue May 19 18:09:00 UTC 2026","passed","Tue May 19 18:09:00 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testPostWithApiKeyHeader"
"","7","11. Получение токена с неверным client_secret → 401","","Tue May 19 18:09:02 UTC 2026","passed","Tue May 19 18:09:02 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testFetchTokenWithWrongSecret"
"","1","Невалидный email отлавливается @Email","","Tue May 19 18:09:09 UTC 2026","passed","Tue May 19 18:09:09 UTC 2026","","ModelValidator — Jakarta Bean Validation","ru.learning.java.validation.ModelValidatorTest","testInvalidEmailDetected"
"","56","Создание постов по данным из JSON [4] POST /posts PostRequest{userId=1, title=Long body, body=Очень длинное тело поста для проверки edge case ............................................, tags=[]}","","Tue May 19 18:09:02 UTC 2026","passed","Tue May 19 18:09:02 UTC 2026","","Data-Driven — JSON источник для posts","ru.learning.java.clients.api.data_driven.PostJsonDataDrivenTest","createPostFromJson"
"Демонстрация GET запроса с корректными credentials","70","1. GET с Basic Auth - успешная авторизация","","Tue May 19 18:09:03 UTC 2026","passed","Tue May 19 18:09:03 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testGetWithBasicAuthSuccess"
