"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Удаление ресурса с Bearer токеном","372","12. DELETE с Bearer Token","","Tue May 19 18:11:05 UTC 2026","passed","Tue May 19 18:11:06 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testDeleteWithBearerToken"
"Некоторые API принимают ключ как 'ApiKey <token>' в Authorization","391","2. GET с API Key в заголовке Authorization (кастомный формат)","","Tue May 19 18:10:47 UTC 2026","passed","Tue May 19 18:10:47 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyInAuthorizationHeader"
"Проверка десериализации одного комментария","26","19. GET запрос - получение конкретного комментария","","Tue May 19 18:11:14 UTC 2026","passed","Tue May 19 18:11:14 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testGetSingleComment"
"Все детали запроса и ответа автоматически попадают в Allure отчет","163","1. GET запрос с автоматическим Allure логированием","","Tue May 19 18:11:15 UTC 2026","passed","Tue May 19 18:11:15 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testGetWithAllureLogging"
"","369","2. Загрузка файла из classpath","","Tue May 19 18:11:09 UTC 2026","passed","Tue May 19 18:11:09 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testUploadFileFromClasspath"
"Удаление поста","99","12. DELETE запрос","","Tue May 19 18:11:13 UTC 2026","passed","Tue May 19 18:11:13 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testDeleteRequest"
"","257","Создание пользователей по данным из JSON [2] POST /users CreateUserRequest(name=Jane Roe, email=jane@example.com, username=jane_roe)","","Tue May 19 18:10:54 UTC 2026","passed","Tue May 19 18:10:54 UTC 2026","","Data-Driven — JSON источник","ru.learning.java.clients.api.data_driven.UserJsonDataDrivenTest","createUserFromJson"
"Альтернативный способ создания объекта CreateUserRequest","111","21. POST запрос - создание пользователя через конструктор","","Tue May 19 18:11:14 UTC 2026","passed","Tue May 19 18:11:14 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testCreateUserWithConstructor"
"","99","7. httpbingo.org: POST с Digest и JSON-телом","","Tue May 19 18:11:08 UTC 2026","passed","Tue May 19 18:11:08 UTC 2026","","DigestApiClientTest — аутентификация через HTTP Digest","ru.learning.java.clients.api.DigestApiClientTest","testHttpBingoPostWithDigestJsonBody"
"Демонстрация PUT запроса с авторизацией","368","4. PUT с Basic Auth","","Tue May 19 18:11:01 UTC 2026","passed","Tue May 19 18:11:01 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPutWithBasicAuth"
