"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Фильтрация постов по userId","192","3. GET запрос с query параметрами","","Sat May 09 14:19:23 UTC 2026","passed","Sat May 09 14:19:23 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testGetWithQueryParameters"
"","1","Username с пробелом не соответствует @Pattern","","Sat May 09 14:19:35 UTC 2026","passed","Sat May 09 14:19:35 UTC 2026","","ModelValidator — Jakarta Bean Validation","ru.learning.java.validation.ModelValidatorTest","testUsernamePatternViolation"
"","374","7. SOAP Fault содержит faultstring","","Sat May 09 14:19:14 UTC 2026","passed","Sat May 09 14:19:15 UTC 2026","","Тесты SoapApiClient","ru.learning.java.clients.api.SoapApiClientTest","testSoapFaultContainsFaultstring"
"Использование FormApiClient с базовыми методами","110","17. Комбинированный тест - FormApiClient с базовыми методами","","Sat May 09 14:19:25 UTC 2026","passed","Sat May 09 14:19:25 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testFormClientWithBasicMethods"
"Проверка обработки ошибок с логированием в Allure","207","7. Негативный тест с Allure отчетом","","Sat May 09 14:19:11 UTC 2026","passed","Sat May 09 14:19:11 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testNegativeScenarioWithAllure"
"Отправка данных с Bearer токеном","269","9. POST с Bearer Token","","Sat May 09 14:19:28 UTC 2026","passed","Sat May 09 14:19:28 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPostWithBearerToken"
"","2","Каскадная валидация: @Valid пробивается до Address и Company","","Sat May 09 14:19:35 UTC 2026","passed","Sat May 09 14:19:35 UTC 2026","","ModelValidator — Jakarta Bean Validation","ru.learning.java.validation.ModelValidatorTest","testCascadeValidation"
"","13","6. Обновление токена через Refresh Token grant","","Sat May 09 14:19:23 UTC 2026","passed","Sat May 09 14:19:23 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testRefreshToken"
"Пошаговое создание и валидация поста","224","4. Создание поста с подробными шагами","","Sat May 09 14:19:10 UTC 2026","passed","Sat May 09 14:19:10 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testCreatePostWithSteps"
"","15","14. Токен имеет поле iat (время выдачи)","","Sat May 09 14:19:31 UTC 2026","passed","Sat May 09 14:19:31 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtHasIssuedAtClaim"
"Создание нового поста","132","6. POST запрос с JSON телом","","Sat May 09 14:19:24 UTC 2026","passed","Sat May 09 14:19:24 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPostRequestWithJsonBody"
"Демонстрирует двухшаговый flow: первый 401, второй 200","19","3. WireMock: повторный запрос с Digest-заголовком возвращает 200","","Sat May 09 14:19:32 UTC 2026","passed","Sat May 09 14:19:32 UTC 2026","","DigestApiClientTest — аутентификация через HTTP Digest","ru.learning.java.clients.api.DigestApiClientTest","testDigestFlowOnWireMock"
"","15","15. iat меньше exp — токен выдан до истечения","","Sat May 09 14:19:31 UTC 2026","passed","Sat May 09 14:19:31 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtIssuedBeforeExpiration"
"","239","2. Загрузка файла из classpath","","Sat May 09 14:19:33 UTC 2026","passed","Sat May 09 14:19:33 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testUploadFileFromClasspath"
