"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","73","5. SOAP — параметризованная конвертация чисел в слова 42 → должно содержать 'forty'","","Sun May 10 07:45:54 UTC 2026","passed","Sun May 10 07:45:54 UTC 2026","","Тесты SoapApiClient","ru.learning.java.clients.api.SoapApiClientTest","testNumberToWordsParameterized"
"Негативный тест: запрос без ключа к защищённому ресурсу","33","4. Проверка, что без API Key возвращается 401","","Sun May 10 07:45:55 UTC 2026","passed","Sun May 10 07:45:55 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithoutApiKeyReturns401"
"","33","5. PUT с form params — обновление данных сотрудника","","Sun May 10 07:45:58 UTC 2026","passed","Sun May 10 07:45:58 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPutFormParamsEmployee"
"Проверка обработки невалидного токена","128","14. Негативный тест - невалидный Bearer токен","","Sun May 10 07:46:01 UTC 2026","passed","Sun May 10 07:46:01 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testInvalidBearerToken"
"","11","10. Запрос к защищённому ресурсу без токена → 401","","Sun May 10 07:45:59 UTC 2026","passed","Sun May 10 07:45:59 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testGetProtectedResourceWithoutToken"
"Частичное обновление с Bearer токеном","160","11. PATCH с Bearer Token","","Sun May 10 07:46:01 UTC 2026","passed","Sun May 10 07:46:01 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPatchWithBearerToken"
"","12","5. Парсинг алгоритма подписи из заголовка JWT","","Sun May 10 07:46:01 UTC 2026","passed","Sun May 10 07:46:01 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testParseJwtAlgorithm"
"POST /auth/login возвращает JWT токен","16","1. Получение JWT токена через логин/пароль","","Sun May 10 07:46:01 UTC 2026","passed","Sun May 10 07:46:01 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testFetchJwtToken"
"","511","2. Неверный пароль → 401 от httpbin","","Sun May 10 07:46:02 UTC 2026","passed","Sun May 10 07:46:02 UTC 2026","","DigestApiClientTest — аутентификация через HTTP Digest","ru.learning.java.clients.api.DigestApiClientTest","testHttpBinDigestAuthWrongPassword"
"Обновление только заголовка поста","36","9. PATCH запрос - частичное обновление","","Sun May 10 07:46:00 UTC 2026","passed","Sun May 10 07:46:00 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPatchRequest"
